Differential Diagnosis,Severity,Nature,Signs and Symptoms,Category,Weightage Base,Rule Weightage,Major Complaint,Source,Probability of Diagnosis,Symptoms and Signs
,,,Jaundice or Actue Kidney Injury ,,0.15,15,,,,
* Chikungunya Gonococcemia ,6,Common,,,,,Arthralgias ,Chikungunya Viral Infection ,0.15,
,,,Symmetric ,,0.15,22.5,,,,
,,,Rash on Abdomen ,,0.15,22.5,,,,
,,,Fever ,,0.15,22.5,,,,
,,,Trip to Caribbean ,,0.25,37.5,,,,
,,,Sore Throat ,,0.1,15,,,,
,,,Ulcers on Tongue ,,0.1,15,,,,
,,,Headache ,,0.08,12,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,3,,,,
,,,Polyarthrolgia Is Asymmetric; Also Rash ,,0.15,22.5,,,,
,,,Has Postular Lesions. ,,0.15,22.5,,,,
SLE ,10,Uncommon,,,,,Itchy Facial Rash For 1 Year ,Dermatomyositis Cancer Associated ,0.15,
,,,Nonproductive Cough ,,0.1,15,,,,
,,,Progressive Dyspnea ,,0.1,15,,,,
,,,FH For RA ,,0.05,7.5,,,,
,,,Gottron's Papules - Pink to Irolocears on Interphalanged Joints ,,0.1,15,,,,
,,,Patchy Ofacities Lungs ,,0.1,15,,,,
,,,Peribiliary ,,0.1,15,,,,
,,,Smoker ,,0.1,15,,,,
,,,Criteria ,,0.15,22.5,,,,
CAP (unrelated to Rash) ,5,Common,,,,,Itchy Facial Rash For 1 Year ,Dermatomyositis Cancer Associated ,0.2,
,,,Nonproductive Cough ,,0.1,20,,,,
,,,Progressive Dyspnea ,,0.1,20,,,,
,,,FH For RA ,,0.05,10,,,,
,,,Gottron's Papules - Pink to Irolocears on Interphalanged Joints ,,0.1,20,,,,
,,,Patchy Ofacities Lungs ,,0.1,20,,,,
,,,Peribiliary ,,0.1,20,,,,
,,,Smoker ,,0.1,20,,,,
,,,Clinically Discordant ,,0.15,30,,,,
*Classic Dermatomyositis (Cancer Associated) ,10,Uncommon,,,,,Itchy Facial Rash For 1 Year ,Dermatomyositis Cancer Associated ,0.65,
,,,Nonproductive Cough ,,0.1,65,,,,
,,,Progressive Dyspnea ,,0.1,65,,,,
,,,FH For RA ,,0.05,32.5,,,,
,,,Gottron's Papules - Pink to Irolocears on Interphalanged Joints ,,0.1,65,,,,
,,,Patchy Ofacities Lungs ,,0.1,65,,,,
,,,Peribiliary ,,0.1,65,,,,
,,,Smoker ,,0.1,65,,,,
,,,Normal Muscle Enzymes But on Immunosuppressives ,,0.15,97.5,,,,
Amyloidosis ,10,Uncommon,,,,,Fevers and Sweats ,Babesiosis and Hemophagocytic Lymphohistiocytosis ,0.05,
,,,Pancytopenia ,,0.1,5,,,,
,,,Nausea ,,0.03,1.5,,,,
,,,Anemia-hemolytic ,,0.2,10,,,,
,,,Splenomegaly ,,0.1,5,,,,
,,,Dyspnea on Exertion ,,0.1,5,,,,
,,,Anorexia ,,0.05,2.5,,,,
,,,Fatigue ,,0.05,2.5,,,,
,,,Elevated Alkaline Phosphatose ,,0.02,1,,,,
,,,Low Haptoglobin ,,0.05,2.5,,,,
,,,Low D Dimer ,,0.05,2.5,,,,
,,,Low CRP ,,0.05,2.5,,,,
Sarcoidosis ,8,Moderately common,,,,,Fevers and Sweats ,Babesiosis and Hemophagocytic Lymphohistiocytosis ,0.1,
,,,Pancytopenia ,,0.1,10,,,,
,,,Nausea ,,0.03,3,,,,
,,,Anemia-hemolytic ,,0.2,20,,,,
,,,Splenomegaly ,,0.1,10,,,,
,,,Dyspnea on Exertion ,,0.1,10,,,,
,,,Anorexia ,,0.05,5,,,,
,,,Fatigue ,,0.05,5,,,,
,,,Elevated Alkaline Phosphatose ,,0.02,2,,,,
,,,Low Haptoglobin ,,0.05,5,,,,
,,,Low D Dimer ,,0.05,5,,,,
,,,Low CRP ,,0.05,5,,,,
Myeloproliferative Disease ,10,Common/Uncommon,,,,,Fevers and Sweats ,Babesiosis and Hemophagocytic Lymphohistiocytosis ,0.1,
,,,Pancytopenia ,,0.1,10,,,,
,,,Nausea ,,0.03,3,,,,
,,,Anemia-hemolytic ,,0.2,20,,,,
,,,Splenomegaly ,,0.1,10,,,,
,,,Dyspnea on Exertion ,,0.1,10,,,,
,,,Anorexia ,,0.05,5,,,,
,,,Fatigue ,,0.05,5,,,,
,,,Elevated Alkaline Phosphatose ,,0.02,2,,,,
,,,Low Haptoglobin ,,0.05,5,,,,
,,,Low D Dimer ,,0.05,5,,,,
,,,Low CRP ,,0.05,5,,,,
EBV ,6,Moderately common,,,,,Fevers and Sweats ,Babesiosis and Hemophagocytic Lymphohistiocytosis ,0.1,
,,,Pancytopenia ,,0.1,10,,,,
,,,Nausea ,,0.03,3,,,,
,,,Anemia-hemolytic ,,0.2,20,,,,
,,,Splenomegaly ,,0.1,10,,,,
,,,Dyspnea on Exertion ,,0.1,10,,,,
,,,Anorexia ,,0.05,5,,,,
,,,Fatigue ,,0.05,5,,,,
,,,Elevated Alkaline Phosphatose ,,0.02,2,,,,
,,,Low Haptoglobin ,,0.05,5,,,,
,,,Low D Dimer ,,0.05,5,,,,
,,,Low CRP ,,0.05,5,,,,
,,,Direct Coombs ,,0.15,15,,,,
HIV ,8,Moderately common,,,,,Fevers and Sweats ,Babesiosis and Hemophagocytic Lymphohistiocytosis ,0.1,
,,,Pancytopenia ,,0.1,10,,,,
,,,Nausea ,,0.03,3,,,,
,,,Anemia-hemolytic ,,0.2,20,,,,
,,,Splenomegaly ,,0.1,10,,,,
,,,Dyspnea on Exertion ,,0.1,10,,,,
,,,Anorexia ,,0.05,5,,,,
,,,Fatigue ,,0.05,5,,,,
,,,Elevated Alkaline Phosphatose ,,0.02,2,,,,
,,,Low Haptoglobin ,,0.05,5,,,,
,,,Low D Dimer ,,0.05,5,,,,
,,,Low CRP ,,0.05,5,,,,
Mycobacteria (TB) ,8,Uncommon,,,,,Fevers and Sweats ,Babesiosis and Hemophagocytic Lymphohistiocytosis ,0.1,
,,,Pancytopenia ,,0.1,10,,,,
,,,Nausea ,,0.03,3,,,,
,,,Anemia-hemolytic ,,0.2,20,,,,
,,,Splenomegaly ,,0.1,10,,,,
,,,Dyspnea on Exertion ,,0.1,10,,,,
,,,Anorexia ,,0.05,5,,,,
,,,Fatigue ,,0.05,5,,,,
,,,Elevated Alkaline Phosphatose ,,0.02,2,,,,
,,,Low Haptoglobin ,,0.05,5,,,,
,,,Low D Dimer ,,0.05,5,,,,
,,,Low CRP ,,0.05,5,,,,
RA ,8,Moderately common,,,,,Fevers and Sweats ,Babesiosis and Hemophagocytic Lymphohistiocytosis ,0.1,
,,,Pancytopenia ,,0.1,10,,,,
,,,Nausea ,,0.03,3,,,,
,,,Anemia-hemolytic ,,0.2,20,,,,
,,,Splenomegaly ,,0.1,10,,,,
,,,Dyspnea on Exertion ,,0.1,10,,,,
,,,Anorexia ,,0.05,5,,,,
,,,Fatigue ,,0.05,5,,,,
,,,Elevated Alkaline Phosphatose ,,0.02,2,,,,
,,,Low Haptoglobin ,,0.05,5,,,,
,,,Low D Dimer ,,0.05,5,,,,
,,,Low CRP ,,0.05,5,,,,
,,,Response to Steroids ,,0.15,15,,,,
SLE ,8,Uncommon,,,,,Fevers and Sweats ,Babesiosis and Hemophagocytic Lymphohistiocytosis ,0.1,
,,,Pancytopenia ,,0.1,10,,,,
,,,Nausea ,,0.03,3,,,,
,,,Anemia-hemolytic ,,0.2,20,,,,
,,,Splenomegaly ,,0.1,10,,,,
,,,Dyspnea on Exertion ,,0.1,10,,,,
,,,Anorexia ,,0.05,5,,,,
,,,Fatigue ,,0.05,5,,,,
,,,Elevated Alkaline Phosphatose ,,0.02,2,,,,
,,,Low Haptoglobin ,,0.05,5,,,,
,,,Low D Dimer ,,0.05,5,,,,
,,,Low CRP ,,0.05,5,,,,
,,,Response to Steroids ,,0.15,15,,,,
Babesiosis ,6,Moderately common,,,,,Fevers and Sweats ,Babesiosis and Hemophagocytic Lymphohistiocytosis ,0.25,
,,,Pancytopenia ,,0.1,25,,,,
,,,Nausea ,,0.03,7.5,,,,
,,,Anemia-hemolytic ,,0.2,50,,,,
,,,Splenomegaly ,,0.1,25,,,,
,,,Dyspnea on Exertion ,,0.1,25,,,,
,,,Anorexia ,,0.05,12.5,,,,
,,,Fatigue ,,0.05,12.5,,,,
,,,Elevated Alkaline Phosphatose ,,0.02,5,,,,
,,,Low Haptoglobin ,,0.05,12.5,,,,
,,,Low D Dimer ,,0.05,12.5,,,,
,,,Low CRP ,,0.05,12.5,,,,
Systemic Amyloidosis ,10,Uncommon,,,,,Increasing Skin Tightness ,Scleroderma ,0.2,
,,,Hx of Multiple Myeloma ,,0.04,8,,,,
,,,Joint Pain and Swelling ,,0.1,20,,,,
,,,Leg Edema ,,0.02,4,,,,
,,,Diffuse Hyperpigmentation of Trunk ,,0.04,8,,,,
,,,Increased CRP ,,0.1,20,,,,
,,,Weight Loss ,,0.05,10,,,,
,,,Severe Fatigue ,,0.05,10,,,,
,,,Melena ,,0.1,20,,,,
,,,DOE ,,0.1,20,,,,
,,,Acute Renal Failure ,,0.1,20,,,,
,,,Watermelon Stomach (Gastric Vascular Ectasia) ,,0.1,20,,,,
,,,Pos ANA (1: 1 28) Pos Anti-rna ,,0.1,20,,,,
,,,Fat Pad Biopsy and Echocardiogram ,,0.15,30,,,,
,,,Skin Lesions ,,0.15,30,,,,
Toxic Meds ,8,Uncommon,,,,,Increasing Skin Tightness ,Scleroderma ,0.1,
,,,Hx of Multiple Myeloma ,,0.04,4,,,,
,,,Joint Pain and Swelling ,,0.1,10,,,,
,,,Leg Edema ,,0.02,2,,,,
,,,Diffuse Hyperpigmentation of Trunk ,,0.04,4,,,,
,,,Increased CRP ,,0.1,10,,,,
,,,Weight Loss ,,0.05,5,,,,
,,,Severe Fatigue ,,0.05,5,,,,
,,,Melena ,,0.1,10,,,,
,,,DOE ,,0.1,10,,,,
,,,Acute Renal Failure ,,0.1,10,,,,
,,,Watermelon Stomach (Gastric Vascular Ectasia) ,,0.1,10,,,,
,,,Pos ANA (1: 1 28) Pos Anti-rna ,,0.1,10,,,,
Godolimium ,8,Uncommon,,,,,Increasing Skin Tightness ,Scleroderma ,0.1,
,,,Hx of Multiple Myeloma ,,0.04,4,,,,
,,,Joint Pain and Swelling ,,0.1,10,,,,
,,,Leg Edema ,,0.02,2,,,,
,,,Diffuse Hyperpigmentation of Trunk ,,0.04,4,,,,
,,,Increased CRP ,,0.1,10,,,,
,,,Weight Loss ,,0.05,5,,,,
,,,Severe Fatigue ,,0.05,5,,,,
,,,Melena ,,0.1,10,,,,
,,,DOE ,,0.1,10,,,,
,,,Acute Renal Failure ,,0.1,10,,,,
,,,Watermelon Stomach (Gastric Vascular Ectasia) ,,0.1,10,,,,
,,,Pos ANA (1: 1 28) Pos Anti-rna ,,0.1,10,,,,
,,,Ususally with Pre-existing Renal Dysfunction ,,0.15,15,,,,
,,,Skin Changes Appear Rapidly ,,0.15,15,,,,
Myelmona - Related Skin Disorders A) Sclerederma B) Scleromyxedema C) Eosinophalic Fascitis ,8,Uncommon,,,,,Increasing Skin Tightness ,Scleroderma ,0.2,
,,,Hx of Multiple Myeloma ,,0.04,8,,,,
,,,Joint Pain and Swelling ,,0.1,20,,,,
,,,Leg Edema ,,0.02,4,,,,
,,,Diffuse Hyperpigmentation of Trunk ,,0.04,8,,,,
,,,Increased CRP ,,0.1,20,,,,
,,,Weight Loss ,,0.05,10,,,,
,,,Severe Fatigue ,,0.05,10,,,,
,,,Melena ,,0.1,20,,,,
,,,DOE ,,0.1,20,,,,
,,,Acute Renal Failure ,,0.1,20,,,,
,,,Watermelon Stomach (Gastric Vascular Ectasia) ,,0.1,20,,,,
,,,Pos ANA (1: 1 28) Pos Anti-rna ,,0.1,20,,,,
,,,Not Typical Distribution ,,0.15,30,,,,
,,,Absence of Skin Papules ,,0.15,30,,,,
,,,Clinical Presentation ,,0.15,30,,,,
Scleroderma ,10,Uncommon,,,,,Increasing Skin Tightness ,Scleroderma ,0.4,
,,,Hx of Multiple Myeloma ,,0.04,16,,,,
,,,Joint Pain and Swelling ,,0.1,40,,,,
,,,Leg Edema ,,0.02,8,,,,
,,,Diffuse Hyperpigmentation of Trunk ,,0.04,16,,,,
,,,Increased CRP ,,0.1,40,,,,
,,,Weight Loss ,,0.05,20,,,,
,,,Severe Fatigue ,,0.05,20,,,,
,,,Melena ,,0.1,40,,,,
,,,DOE ,,0.1,40,,,,
,,,Acute Renal Failure ,,0.1,40,,,,
,,,Watermelon Stomach (Gastric Vascular Ectasia) ,,0.1,40,,,,
,,,Pos ANA (1: 1 28) Pos Anti-rna ,,0.1,40,,,,
TTP ,10,Uncommon,,,,,Increasing Skin Tightness ,Scleroderma ,0.1,
,,,Hx of Multiple Myeloma ,,0.04,4,,,,
,,,Joint Pain and Swelling ,,0.1,10,,,,
,,,Leg Edema ,,0.02,2,,,,
,,,Diffuse Hyperpigmentation of Trunk ,,0.04,4,,,,
,,,Increased CRP ,,0.1,10,,,,
,,,Weight Loss ,,0.05,5,,,,
,,,Severe Fatigue ,,0.05,5,,,,
,,,Melena ,,0.1,10,,,,
,,,DOE ,,0.1,10,,,,
,,,Acute Renal Failure ,,0.1,10,,,,
,,,Watermelon Stomach (Gastric Vascular Ectasia) ,,0.1,10,,,,
,,,Pos ANA (1: 1 28) Pos Anti-rna ,,0.1,10,,,,
,,,Skin ,,0.15,15,,,,
,,,Joint ,,0.15,15,,,,
,,,Other Organs Except For CNS ,,0.15,15,,,,
,,,Kidneys ,,0.15,15,,,,
